nombre,codigo,descripcion,url
Gel crema antiseñales Firmeza y luminosidad Chronos 45+ día,NATCHL-134725,"• 82 % más colágeno y 72 % más elastina1 | • 96 % más firmeza y elasticidad2 | • suaviza los impactos causados en la piel por la menopausia | • reduce arrugas | • firmeza e ilumina la piel | • uniformiza la textura y el tono de la piel | • activa la vitalidad celular3 | • reduce los daños causados por la luz azul, radicales libres y fotoenvejecimiento | • contiene bioactivo: jatobá, que estimula el colágeno natural de la piel | • dermatológicamente probado | • protección solar: FPS 30 y FPUVA 10 | • edad sugerida: 45+ | • libre de crueldad | • vegano | • para todo tipo de piel | • textura: gel",https://www.natura.cl/p/gel-crema-antisenales-firmeza-y-luminosidad-chronos-45-dia-40-g/NATCHL-134725
Lápiz Kajal para Ojos UNA,NATCHL-70720,"• color intenso y duradero con una sola aplicación | • textura cremosa: se desliza fácilmente, ofreciendo una aplicación suave y cómoda | • versatilidad: puede usarse en la línea de agua, en la línea de las pestañas o difuminado para distintos efectos | • perfecto para llevar en el bolso y retocar cuando quieras | • larga duración: mantiene la mirada impactante durante todo el día, sin correrse | • fácil de difuminar: ideal para crear looks ahumados y dramáticos | • producto vegano: fórmula libre de ingredientes de origen animal",https://www.natura.cl/p/lapiz-kajal-para-ojos-una/NATCHL-70720
Crema para peinar Antidaños y Reconstrucción Murumuru Ekos,NATCHL-112770,cabellos nutridos y hasta 10 veces más fáciles de peinar con la potencia antidaños del murumuru.*• desenreda el cabello y reconstruye la fibra capilar • reduce las puntas abiertas • protege de daños causados por el uso de secador y plancha • la línea Ekos Murumuru contribuye a la regeneración de la Amazonía y ayuda a fortalecer los ingresos de 2049 familias guardianas de la selva vinculadas a la cosecha sustentable *resultados comprobados en pruebas instrumentales versus shampoo base• 97% de origen natural.,https://www.natura.cl/p/crema-para-peinar-multibeneficios-ekos-murumuru-150-ml/NATCHL-112770
Pulpa Exfoliante para el Cuerpo Ekos Castaña,NATCHL-69825,"piel suave y renovada con el poder antirresequedad de la castaña.• exfoliante corporal hecho con aceite bruto de castaña, rico en omegas 6 y 9 • deja la piel suave y renovada • posee partículas exfoliantes que ayudan a remover impurezas y células muertas • la línea Ekos Castaña contribuye a la regeneración del Amazonas y ayuda a fortalecer los ingresos de 689 familias guardianas de la selva vinculadas a la cosecha sustentable• 97% de origen natural.",https://www.natura.cl/p/pulpa-exfoliante-para-el-cuerpo-ekos-castana-200-g/NATCHL-69825
Hidratante para manos y zonas secas Homem,NATCHL-152330,"• textura cremosa | • fórmula que hidrata y brinda confort inmediato | • para la piel de las manos, rodillas, codos y otras zonas resecas | • tamaño ideal para llevar en la mochila o el neceser | • refuerza la hidratación en cualquier momento del día | • elaborado con Tecnología DermoTech, que cuida y fortalece la piel | • testado dermatológicamente | • cruelty free | • vegano | • apto para todo tipo de piel",https://www.natura.cl/p/hidratante-para-manos-y-zonas-secas-homem-50-ml/NATCHL-152330
Jabón líquido,NATCHL-106416,"Jabón líquido mama y bebe 200mlJabón líquidoContenido200mlSobre la marca Mamá y Bebé: Natura Mamá y Bebé ofrece una línea de productos suaves y seguros que ayudan a hacer de cada momento de cuidado diario, un momento de placer y bienestar; se fortalece así, cada vez más, el vínculo entre la madre y el bebé.Mamá y Bebé. Un momento por día. Todos los días. Para toda la vida.",https://www.natura.cl/p/jabon-liquido-mama-y-bebe-200ml/NATCHL-106416
"Delineador De Cejas En Fibra Una 1,1Ml",NATCHL-17043,"• definición precisa | • punta fina que permite dibujar pelos finos y naturales | • larga duración | • fórmula resistente al agua y al sudor, ideal para todo el día | • acabado natural | • rellena y define las cejas con una apariencia suave y sin imperfecciones | • fácil de usar | • aplicación práctica y rápida para un look impecable | • producto vegano | • fórmula libre de ingredientes de origen animal | • pincel de fibra en forma de micropeine | • 4 veces más definición del pelo | • tecnología de partículas | • reproduce el pelo de manera natural con 24 horas de duración, no transfiere | • d",https://www.natura.cl/p/delineador-de-cejas-en-fibra-una-tono-castano-11-ml/NATCHL-17043
Repuesto Jabón líquido de glicerina Naturé,NATCHL-102418,"• mantiene la hidratación y el pH natural de la piel | • fórmula que previene la resequedad | • puede usarse en el cuerpo y rostro | • deliciosa fragancia frutal, con aroma a niñez feliz | • mantiene y fortalece la microbiota de la piel | • fórmula con prebióticos | • no irrita los ojos | • 96% de ingredientes de origen natural, como el aceite de babaçu | • 96% de biodegradabilidad | • libre de colorantes artificiales y sulfatos | • contiene activo: prebióticos | • contiene bioactivo: aceite de babaçu | • testado dermatológicamente | • edad sugerida: 4 a 8 años | • cruelty free | • vegano | • ",https://www.natura.cl/p/repuesto-jabon-liquido-de-glicerina-nature-250-ml/NATCHL-102418
Acondicionador Infantil Rizados Naturé 250ml,NATCHL-102402,"• acondicionador que deja los rizos 8 veces más hidratados y definidos por hasta 24 horas | • fórmula aprobada por padres y pediatras que nutre profundamente el cabello | • facilita el peinado y protege contra la rotura | • rizos fuertes, suaves y listos para jugar",https://www.natura.cl/p/acondicionador-cabello-rizado-y-crespo-nature-250-ml/NATCHL-102402
Repuesto Crema Hidratante Corporal Ekos Tukumá,NATCHL-203397,"piel más firme y rellena con la potencia antiseñales del tucumá.• estimula en 77% la producción de ácido hialurónico* • piel reparada e hidratada por hasta 72 horas • hecho con aceite y manteca bruta de tukumá, que intensifican la producción de ácido hialurónico • combate los signos de envejecimiento prematuro • doble acción que rellena las capas de la piel • deja la piel más hidratada y uniforme • la línea Ekos tukumá contribuye a la regeneración de la Amazonía y fortalece el ingreso de 702 familias guardianas del bosque vinculadas a la cosecha sostenible. *resultado comprobado por prueba in ",https://www.natura.cl/p/repuesto-crema-hidratante-para-el-cuerpo-ekos-tukuma-400-ml/NATCHL-203397
