nombre,codigo,descripcion,url
,NATCHL-140053,UNA BATOM INTRANSF VIOLETA 6M 7ML,https://www.natura.cl/p/una-batom-intransf-violeta-6m-7ml/NATCHL-140053
Gloss Labial Hidratación Activa Una,NATCHL-164826,"brillo sofisticado con acción de relleno labial. • 72 horas de hidratación activa • aumento de la hidratación de los labios en un 100%* • brillo sofisticado que no se pega y no corre • textura cómoda y no pegajosa que se desliza fácilmente • rellena y da volumen a los labios • con tecnología duo cromo: pigmentos y microesferas inteligentes que proporcionan brillo duocromo – el color cambia según la luz o el ángulo • fórmula enriquecida con ácido hialurónico, escualano y manteca de tukumã. *datos obtenidos a través de estudio clínico con evaluación instrumental de la hidratación de la piel.",https://www.natura.cl/p/gloss-labial-hidratacion-activa-una-5-ml/NATCHL-164826
Esmalte De Unas 3D Gel Una 8Ml,NATCHL-15823,• tecnología PRO Color & Care | • enriquecido con extracto de algas | • ingredientes que ayudan al cuidado y nutrición de las uñas | • efecto gel con protección contra la luz UV | • larga duración y brillo extraordinario en gel | • acabado profesional | • fácil remoción | • producto vegano | • sin pruebas en animales | • 9 FREE | • hipoalergénico,https://www.natura.cl/p/esmalte-de-unas-3d-gel-una-collage-100-8ml/NATCHL-15823
Balm Post Barba Humor Beijo de Humor 75 ml,NATCHL-133339,"• 1º paso: aplica sobre la piel, especialmente en las zonas de mayor circulación como el cuello y las muñecas | • 2º paso: reaplica cada vez que quieras renovar la fragancia",https://www.natura.cl/p/balm-post-barba-humor-beijo-de-humor-75-ml/NATCHL-133339
Delineador Matte Peel Off Una,NATCHL-95757,• cobertura: alta | • testado dermatológicamente | • aplicador extrafino de fibra | • garantiza una aplicación precisa y suave | • ideal para delinear trazos finos o dramáticos | • efecto: matte | • color intenso y efecto matte de larga duración | • mirada aún más marcada y poderosa | • remoción peel off: fácil de retirar | • cruelty free | • vegano | • zona de aplicación: ojos | • ultrapigmentado,https://www.natura.cl/p/delineador-matte-peel-off-una-negro-3-ml/NATCHL-95757
Esmalte De Unas,NATCHL-106551,• acabado cremoso | • esmalte con alta cobertura y secado rápido | • proporciona un look vibrante y moderno | • fácil de aplicar | • uñas increíbles con practicidad y estilo | • uñas fuertes y resistentes | • brillo increíble | • vegano | • fórmula hipoalergénica | • edad sugerida: a partir de 18 años | • hipoalergénico | • cruelty free,https://www.natura.cl/p/esmalte-de-unas-verde-canberra/NATCHL-106551
Desodorante en Spray Corporal Perfumado Paz e Humor,NATCHL-155868,protección con fragancia aromática moderada• protege contra los olores de la transpiración • mantiene la hidratación natural de la piel • potencia la perfumación de la colonia desodorante • envase práctico con seguro en la tapa,https://www.natura.cl/p/desodorante-en-spray-corporal-perfumado-paz-e-humor-100-ml/NATCHL-155868
Cepillo Antinudos Creer Para Ver,NATCHL-262988,"cepillo desenredante con cerdas flexibles y diseño ergonómico• cepillo de cabello pequeño que se adapta al formato de las manos • cerdas flexibles uniformemente espaciadas • dejá tu pelo suave y sin enredos indesejados • evita a rotura excessiva de pelo • medidas: 12 cm x 7,5 cm x 4 cm",https://www.natura.cl/p/cepillo-antinudos-creer-para-ver/NATCHL-262988
Corrector Cobertura Extrema Una 8 Ml,NATCHL-122113,"• resistente al agua y sudor con textura cremosa de larga duración | • tecnología HD: alta cobertura incluso frente a videos y fotos | • acabado matte, para todo tipo de piel. Vitamina E | • acción antioxidante, que combate radicales libres previniendo el envejecimiento precoz",https://www.natura.cl/p/corrector-cobertura-extrema-una-21n-8-ml/NATCHL-122113
Shampoo Hidratación y Protección Antipolución Lumina 300ml,NATCHL-147416,"• un paso esencial en tu ritual de cuidado | • no reseca las puntas | • cabello limpio por mucho más tiempo | • 4 veces más fuerza | • 2,5 veces más hidratación | • 2,5 veces más suavidad",https://www.natura.cl/p/shampoo-purificante-300-ml/NATCHL-147416
Corrector Cushion Nude Me 12G,NATCHL-107125,• resistente al agua y al sudor | • duración de 24 horas | • controla el brillo de la piel | • puede usarse en todo el rostro | • probado dermatológicamente | • cruelty free | • textura: ligera | • subtono: neutro | • zona de aplicación: rostro,https://www.natura.cl/p/corrector-cushion-nude-me-19n-12-ml/NATCHL-107125
Crema antiseñales Fortalecimiento y nutrición Chronos 80+ noche,NATCHL-135039,"• suaviza los impactos causados en la piel después de la menopausia | • contiene activo: ceramida, que repone componentes esenciales para la piel | • contiene bioactivo: cupuaçú, que proporciona hidratación nutritiva | • más del 95% de las mujeres con la piel más uniforme en 2 semanas¹ | • 100% más fortalecimiento y nutrición¹ | • reduce las arrugas profundas | • activa la vitalidad celular² | • fortalece las capas de la piel y nutre profundamente | • uniforma marcas blanquecinas u oscurecidas por el envejecimiento | • resultados reales comprobados por dermatólogos | • cuenta con recarga | • c",https://www.natura.cl/p/crema-antisenales-fortalecimiento-y-nutricion-chronos-80-noche-40-g/NATCHL-135039
Jabón Líquido para Manos Ekos Castaña,NATCHL-70402,"manos suaves y perfumadas con la fragancia cremosa de la castaña.• mantiene el pH de la piel • hecho con aceite bruto de castaña, rico en omegas 6 y 9 • ideal para quienes buscan un jabón líquido para lavamanos • la línea Ekos Castaña apoya la regeneración de la Amazonía y ayuda a fortalecer los ingresos de 689 familias guardianas de la selva vinculadas a la cosecha sustentable• 97% de origen natural.",https://www.natura.cl/p/jabon-liquido-para-manos-ekos-castana-250-ml/NATCHL-70402
Esmalte De Unas 3D Gel Una 8Ml,NATCHL-15353,• tecnología PRO Color & Care | • enriquecido con extracto de algas | • ingredientes que ayudan al cuidado y nutrición de las uñas | • efecto gel con protección contra la luz UV | • larga duración y brillo extraordinario en gel | • acabado profesional | • fácil remoción | • producto vegano | • sin pruebas en animales | • 9 FREE | • hipoalergénico,https://www.natura.cl/p/esmalte-de-unas-3d-gel-una-contorno-590-8ml/NATCHL-15353
