nombre,codigo,descripcion,url
Labial CC Hidratante FPS 25 Colección Una Nude 2C,NATCHL-205323,"labial nude que promueve volumen labial con 24 horas de hidratación y acción Antiseñales.• 80% labios restaurados* • 76% alta cobertura* • 75% labios más voluminosos* • labial cremoso con textura que proporciona una aplicación cómoda y uniforme • acabado satinado, luminoso y sofisticado • un nude nada básico que realza la belleza de los labios • fórmula enriquecida con activos hidratantes y antioxidantes • labial con FPS 25 que deja los labios protegidos y suaves • edición especial con diseño personalizado en la barra y empaque inspirado en el icónico color nude 2C. * prueba instrumental in vi",https://www.natura.cl/p/labial-cc-hidratante-fps-25-coleccion-una-nude-2c-38-g/NATCHL-205323
Base Stick FPS 50 Una,NATCHL-181521,base cremosa en formato stick con FPS 50 y ácido hialurónico.• hidrata la piel de forma inmediata y duradera • acabado natural y cobertura de leve a media • eficacia comprobada • larga duración de 24 horas • indicada para piel mixta a seca • formato stick fácil de aplicar y de difuminar • protege la piel de los daños causados por el sol • también puede usarse como contorno.,https://www.natura.cl/p/base-stick-fps-50-una-12-g/NATCHL-181521
Lumina  Matización Kit Shampoo y Leave In,NATCHL-250281,desempeño aún más avanzado para cabellos rubios y canosos• shampoo y fluido matizador con nueva fórmula • sistema de matización y restauración progresiva • efecto antiamarilleo y antidesvanecimiento del color • cabello más fuerte y resistente • 7 veces más resistencia* • nueva fragancia • fórmula con BioProteína Triple Acción + activo matizador • cabello reconstruido y saludable desde la primera aplicación • protección contra los rayos UV • para cabellos rubios y canosos • cruelty free • vegano • tipo de tratamiento: matización y restauración contiene 1 Shampoo Matizador 300 ml 1 Fluido Matiza,https://www.natura.cl/p/lumina--matizacion-kit-shampoo-y-leave-in/NATCHL-250281
Spray de ambientes Bothanica Divinus plantae,NATCHL-139805,"no incluye bolsaSpray de ambientes Bothanica Divinus plantaeCuidado para tu casa, despierta tus sentidos. Alta concentración de fragancia y óleos esenciales.Camino olfativoNotas de lavanda, melaleuca y hoja de violeta.Contenido230 mlSobre la marca Bothanica:Natura Bothanica se integra en los diferentes ambientes con fragancias potentes y de larga duración. Su Arquitectura olfativa está caracterizada por notas herbales, frescas y cítricas, y presencia de amaderados.",https://www.natura.cl/p/spray-de-ambientes-bothanica-divinus-plantae-230-ml/NATCHL-139805
Frasco para Difusor de Ambientes,NATCHL-149327,crea el ambiente perfectoeste frasco vacío de difusor es ideal para tu recarga favorita. una opción simple y versátil para perfumar tus espacios.,https://www.natura.cl/p/frasco-para-difusor-de-ambientes-200-ml/NATCHL-149327
Base tint extremo confort FPS40 Una 15Q,NATCHL-135026,"• cobertura ligera y acabado natural | • deja tu piel con una luminosidad radiante | • fórmula con triple ácido hialurónico y manteca de tukumã | • proporciona hidratación activa desde el interior | • ideal para el uso diario, con FPS 40 y protección UVA | • disponible en tonos que unifican y se adaptan al tono de tu piel | • disimula imperfecciones | • indicada para piel mixta a seca | • no se acumula en los poros ni en las líneas de expresión, no se cuartea ni se desmorona | • no deja sensación grasosa ni pegajosa | • protege la piel contra los daños causados por la luz azul y la luz solar |",https://www.natura.cl/p/base-tint-extremo-confort-fps40-una-31n-30-ml/NATCHL-135026
Base tint extremo confort FPS40 Una 15Q,NATCHL-135034,"72 horas de hidratación para una piel radianteBase tint extremo confort FPS40 Una 35QCon 72 horas de hidratación para una piel radiante. Con textura ultra ligera y suave al tacto, proporcionando una sensación extremamente confortable en la piel.Tiene triple ácido hialurónico que hidrata las diferentes capas de la piel de forma inmediata y duradera. También manteca de tukumá que estimula la producción de ácido hialurónico.Contenido30 mlSobre la línea UnaNatura UNA es una línea premium y sofisticada de maquillaje, que despierta el placer por los sentidos. Uniendo performance y tecnología con ing",https://www.natura.cl/p/base-tint-extremo-confort-fps40-una-35q-30-ml/NATCHL-135034
Labial mate intransferible de larga duración Faces,NATCHL-111399,"el color que acompaña tu ritmoLabial mate intransferible de larga duración Faces Ocean Hype Un labial que dura por hasta 12 horas, no transfiere, puedes utilizarlo para boca y mejillas como también protege de la luz de las pantallas del celular y computador.Contenido5,5 mlSobre la línea Faces:Faces es una marca de belleza urbana para cuidarse, inventarse y reinventarse. Da color y valentía, para expresar tu belleza del espejo hacia adentro y de la puerta hacia afuera. Y salir a la calle con actitudes positivas, que se reflejan en el próximo y en el alrededor. Faces se trata de una belleza evid",https://www.natura.cl/p/labial-mate-intransferible-de-larga-duracion-faces-ocean-hype-55-ml/NATCHL-111399
Crema Hidratante para el Cuerpo Ekos Andiroba,NATCHL-163706,"tu piel restaurada e hidratada por hasta 72 horas. • rica en aceite puro de andiroba, ayuda a aliviar la sensación de fatiga corporal • 70% afirman que alivia la sensación de fatiga corporal* 55% afirman aliviar la sensación de hinchazón en el cuerpo* • piel más nutrida y con aspecto saludable • textura cremosa y rápida absorción • proporciona un ritual de cuidado y bienestar. *estudio realizado con 120 consumidores después de 7 días de uso del producto",https://www.natura.cl/p/crema-hidratante-para-el-cuerpo-ekos-andiroba-400-ml/NATCHL-163706
Base tint extremo confort FPS40 Una 15Q,NATCHL-135024,"• cobertura ligera y acabado natural | • deja tu piel con una luminosidad radiante | • fórmula con triple ácido hialurónico y manteca de tukumã | • proporciona hidratación activa desde el interior | • ideal para el uso diario, con FPS 40 y protección UVA | • disponible en tonos que unifican y se adaptan al tono de tu piel | • disimula imperfecciones | • indicada para piel mixta a seca | • no se acumula en los poros ni en las líneas de expresión, no se cuartea ni se desmorona | • no deja sensación grasosa ni pegajosa | • protege la piel contra los daños causados por la luz azul y la luz solar |",https://www.natura.cl/p/base-tint-extremo-confort-fps40-una-12f-30-ml/NATCHL-135024
